20 20
0 1
0 6
0 11
0 15
1 1
1 3
1 4
1 5
1 6
1 8
1 9
1 11
1 13
1 15
1 17
1 19
2 1
2 3
2 8
2 11
2 13
2 15
2 17
3 1
3 3
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 15
3 17
3 18
4 1
4 3
4 8
4 13
4 18
5 1
5 3
5 4
5 5
5 6
5 8
5 10
5 11
5 12
5 13
5 14
5 16
5 18
6 6
6 8
6 10
6 12
6 16
6 18
7 1
7 2
7 3
7 4
7 6
7 8
7 10
7 12
7 13
7 14
7 15
7 16
7 18
8 4
8 10
8 12
8 18
9 1
9 2
9 4
9 6
9 7
9 8
9 10
9 14
9 16
9 17
9 18
10 1
10 4
10 6
10 10
10 12
10 14
10 16
10 18
11 1
11 2
11 3
11 4
11 6
11 8
11 9
11 10
11 12
11 14
11 16
11 18
12 6
12 9
12 12
12 14
12 18
13 0
13 1
13 3
13 4
13 5
13 6
13 7
13 9
13 11
13 12
13 14
13 15
13 16
13 18
14 4
14 7
14 11
14 14
14 18
15 1
15 2
15 3
15 4
15 5
15 7
15 9
15 10
15 11
15 13
15 14
15 16
15 18
16 1
16 5
16 7
16 9
16 11
16 12
16 13
16 16
16 18
17 3
17 5
17 7
17 9
17 13
17 15
17 16
17 18
18 1
18 2
18 3
18 5
18 7
18 9
18 10
18 11
18 13
18 15
18 16
18 17
18 18
19 7
19 13








